race_id,date,Win,Place,Bracket_Quinella,Quinella,Quinella_Place,Exacta,Trio,Trifecta
202506010111,20250105,840,300|310|430,2050,3660,1320|2700|2310,6990,,
202507010111,20250105,1200,370|240|210,2420,4870,1670|1100|860,12060,,
202506010411,20250112,590,260|240|620,2040,2700,1080|3400|2880,5470,,
202506010711,20250119,4940,960|490|980,10230,35970,7430|9500|5490,77110,,
202507010711,20250119,720,280|190|350,500,2170,850|1390|1170,4690,,
202510010111,20250125,680|410,390|300|380,5240,4810,1450|2180|1670,5960|5000,,
202506010911,20250126,260,140|390|230,2850,2910,900|450|1680,3770,,
202507010911,20250126,970,250|130|160,740,1080,440|600|270,3160,,
202505010211,20250202,460,190|220|460,1240,1470,600|1590|1570,2550,,
202508010211,20250202,2740,690|820|310,4550,23090,6270|2340|2840,47190,,
202508010411,20250209,270,120|200|180,920,940,380|340|710,1550,,
202505010411,20250209,740,230|180|3570,1260,1540,620|28850|19700,3540,,
202505010511,20250215,490,220|520|350,1560,5650,1730|1460|2810,8720,,
202505010611,20250216,380,150|270|170,2930,2730,750|430|910,4150,,
202508010611,20250216,950,350|610|750,8400,8740,2040|2140|3650,18250,,
202508010711,20250222,1860,430|200|180,1260,4420,1290|1650|710,11640,,
202505010711,20250222,190,130|1100|600,1990,11420,3050|1160|16030,14470,,
202505010811,20250223,430,170|210|150,820,1830,720|420|440,2970,,
202510011011,20250223,660,220|380|670,1760,3990,1220|2630|4510,7920,,
202506020111,20250301,270,140|230|280,440,1270,520|590|1310,2060,,
202506020211,20250302,310,140|190|130,780,1050,480|260|440,1540,,
202509010211,20250302,3930,690|380|140,9410,24010,5650|1290|930,64260,,
202506020311,20250308,580,200|320|150,1960,3490,1260|580|1100,5260,,
202509010311,20250308,670,260|1690|330,18320,39270,10150|1240|10710,50350,,
202506020411,20250309,1690,380|200|270,1330,3380,1080|1710|880,10740,,
202507020211,20250316,820,220|150|400,1280,1180,500|1840|740,3040,,
202506020611,20250316,410,170|270|180,2300,2150,710|430|900,3170,,
202506020711,20250322,1440,250|130|190,410,920,380|1060|350,3660,,
202507020311,20250322,630,260|320|1410,2120,2450,990|4600|5940,4330,,
202509010811,20250323,570,240|420|300,2080,5520,1540|1060|2330,7860,,
202507020411,20250323,2550,510|270|180,2240,9330,1780|2070|840,20950,,
202506030111,20250329,740,180|250|120,510,3350,830|290|400,7490,,
